Frame,X Position [µm],Y Position [µm],Intensity,Fit Radius
13,19.4384,23.888,8259,1.1
13,13.72544,24.296,11708,1.1
13,14.26848,10.23296,8718,1.1
14,17.7696,12.70928,9621.8,1.1
14,13.73296,24.2848,12554,1.1
14,11.56512,1.266112,6771.5,1.1
15,22.1888,7.17088,9921,1.1
15,14.26704,10.07056,9623.7,1.1
15,7.07584,11.99152,8677.9,1.1
15,19.496,12.44944,6647.4,1.1
15,6.68528,12.88208,8708.8,1.1
15,5.95424,13.09136,7652.8,1.1
15,13.46624,19.5568,8682.5,1.1
15,12.94944,22.8896,8303.7,1.1
15,17.7072,23.0576,7688.1,1.1
15,13.67216,24.336,13415,1.1
15,6.85824,8.58544,8012.2,1.1
16,12.47808,9.29008,8875.9,1.1
16,14.32608,10.15184,12712,1.1
16,9.1352,16.1344,7560.4,1.1
16,15.35248,18.24,12549,1.1
16,13.70016,24.3808,15570,1.1
16,6.868,8.56928,7786.6,1.1
17,14.31008,10.12256,11367,1.1
17,6.08192,10.6208,6753.6,1.1
17,17.9152,11.13184,10094,1.1
17,23.7856,11.71056,6001.9,1.1
17,7.10944,11.8104,7787.2,1.1
17,17.8576,12.69488,9875.6,1.1
17,20.4,14.72144,8030,1.1
17,18.7056,22.328,8936.9,1.1
17,13.67824,24.376,14395,1.1
17,16.2768,5.01712,7593.3,1.1
18,18.4608,5.4832,7596.6,1.1
18,19.0992,6.42544,6918.7,1.1
18,6.928,8.65136,8097.4,1.1
18,14.19696,10.14976,8374.8,1.1
18,13.76416,24.352,12133,1.1
18,13.4056,26.2288,6327.6,1.1
18,18.2976,5.85856,7356.5,1.1
19,22.1632,7.05232,9453.9,1.1
19,12.59296,7.2992,10012,1.1
19,18.0352,11.04,8691.1,1.1
19,7.23648,11.99584,9563.7,1.1
19,12.48672,12.21056,9273.7,1.1
19,14.63808,12.68432,11322,1.1
19,12.20768,26.336,9648,1.1
19,7.83568,7.38704,7461.9,1.1
20,12.57968,7.30384,11065,1.1
20,14.23568,10.06448,11195,1.1
